"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2025","96,642.0","95,612.0","96,863.0","95,011.0","1.42K","1.07%"
"02/18/2025","95,616.0","95,772.0","96,697.0","93,340.0","1.42K","-0.16%"
"02/17/2025","95,772.0","96,132.0","97,014.0","95,227.0","0.80K","-0.37%"
"02/16/2025","96,132.0","97,591.0","97,727.0","96,066.0","0.45K","-1.50%"
"02/15/2025","97,595.0","97,520.0","97,974.0","97,237.0","0.34K","0.08%"
"02/14/2025","97,520.0","96,627.0","98,865.0","96,300.0","1.25K","0.92%"
"02/13/2025","96,627.0","97,882.0","98,091.0","95,249.0","0.86K","-1.28%"
"02/12/2025","97,882.0","95,754.0","98,108.0","94,091.0","1.48K","2.22%"
"02/11/2025","95,754.0","97,469.0","98,490.0","94,857.0","1.28K","-1.76%"
"02/10/2025","97,469.0","96,477.0","98,349.0","95,307.0","0.99K","1.03%"
"02/09/2025","96,477.0","96,471.0","97,337.0","94,726.0","1.01K","0.01%"
"02/08/2025","96,471.0","96,535.0","96,896.0","95,700.0","0.62K","-0.07%"
"02/07/2025","96,535.0","96,573.0","100,185.0","95,662.0","1.94K","-0.04%"
"02/06/2025","96,573.0","96,614.0","99,174.0","95,701.0","1.72K","-0.04%"
"02/05/2025","96,614.0","97,786.0","99,150.0","96,182.0","1.58K","-1.20%"
"02/04/2025","97,786.0","101,457.0","101,783.0","96,189.0","2.07K","-3.62%"
"02/03/2025","101,457.0","97,675.0","102,568.0","91,531.0","4.08K","3.87%"
"02/02/2025","97,675.0","100,638.0","101,430.0","96,192.0","1.75K","-2.94%"
"02/01/2025","100,638.0","102,411.0","102,754.0","100,270.0","0.79K","-1.73%"
"01/31/2025","102,407.0","104,738.0","106,046.0","101,528.0","2.02K","-2.23%"
"01/30/2025","104,738.0","103,747.0","106,447.0","103,313.0","1.54K","0.96%"
"01/29/2025","103,747.0","101,292.0","104,769.0","101,291.0","1.54K","2.42%"
"01/28/2025","101,292.0","102,090.0","103,742.0","100,225.0","1.72K","-0.79%"
"01/27/2025","102,100.0","102,601.0","103,186.0","97,750.0","3.21K","-0.49%"
"01/26/2025","102,601.0","104,738.0","105,424.0","102,476.0","0.80K","-2.04%"
"01/25/2025","104,738.0","104,855.0","105,237.0","104,126.0","0.74K","-0.11%"
"01/24/2025","104,855.0","103,933.0","107,149.0","102,754.0","1.73K","0.90%"
"01/23/2025","103,917.0","103,632.0","106,848.0","101,238.0","3.79K","0.28%"
"01/22/2025","103,632.0","106,149.0","106,370.0","103,322.0","1.71K","-2.37%"
"01/21/2025","106,149.0","102,141.0","107,265.0","100,089.0","3.06K","3.92%"
"01/20/2025","102,141.0","101,237.0","109,356.0","99,462.0","3.92K","0.89%"
"01/19/2025","101,237.0","104,436.0","106,294.0","99,528.0","2.60K","-3.06%"
"01/18/2025","104,436.0","104,119.0","104,909.0","102,238.0","1.31K","0.30%"
"01/17/2025","104,119.0","99,975.0","105,932.0","99,944.0","3.09K","4.15%"
"01/16/2025","99,975.0","100,512.0","100,856.0","97,319.0","1.82K","-0.53%"
"01/15/2025","100,512.0","96,523.0","100,715.0","96,474.0","1.81K","4.13%"
"01/14/2025","96,523.0","94,505.0","97,339.0","94,345.0","1.48K","2.14%"
"01/13/2025","94,505.0","94,497.0","95,846.0","89,268.0","2.13K","0.03%"
"01/12/2025","94,478.0","94,568.0","95,363.0","93,685.0","0.57K","-0.10%"
"01/11/2025","94,568.0","94,701.0","94,975.0","93,843.0","0.64K","-0.14%"
"01/10/2025","94,701.0","92,519.0","95,797.0","92,232.0","1.80K","2.36%"
"01/09/2025","92,519.0","95,065.0","95,333.0","91,217.0","1.88K","-2.68%"
"01/08/2025","95,065.0","96,946.0","97,248.0","92,502.0","2.08K","-1.94%"
"01/07/2025","96,946.0","102,280.0","102,760.0","96,130.0","1.49K","-5.22%"
"01/06/2025","102,280.0","98,327.0","102,508.0","97,919.0","1.74K","4.02%"
"01/05/2025","98,327.0","98,209.0","98,799.0","97,277.0","0.45K","0.12%"
"01/04/2025","98,209.0","98,133.0","98,753.0","97,540.0","0.45K","0.08%"
"01/03/2025","98,133.0","96,907.0","98,950.0","96,042.0","1.16K","1.28%"
"01/02/2025","96,893.0","94,388.0","97,744.0","94,205.0","1.22K","2.65%"
"01/01/2025","94,388.0","93,381.0","94,951.0","92,768.0","0.78K","1.08%"
"12/31/2024","93,381.0","92,628.0","96,110.0","91,900.0","1.13K","0.81%"
"12/30/2024","92,628.0","93,557.0","94,891.0","91,315.0","1.84K","-0.99%"
"12/29/2024","93,557.0","95,139.0","95,139.0","92,868.0","0.85K","-1.66%"
"12/28/2024","95,139.0","94,168.0","95,529.0","94,026.0","0.84K","1.03%"
"12/27/2024","94,168.0","95,687.0","97,329.0","93,282.0","2.42K","-1.59%"
"12/26/2024","95,687.0","99,357.0","99,876.0","95,111.0","1.50K","-3.71%"
"12/25/2024","99,374.0","98,596.0","99,478.0","97,576.0","0.85K","0.79%"
"12/24/2024","98,596.0","94,750.0","99,419.0","93,461.0","1.44K","4.06%"
"12/23/2024","94,750.0","95,098.0","96,420.0","92,389.0","2.43K","-0.37%"
"12/22/2024","95,098.0","97,211.0","97,376.0","94,200.0","2.08K","-2.17%"
"12/21/2024","97,211.0","97,760.0","99,514.0","96,399.0","1.74K","-0.56%"
"12/20/2024","97,760.0","97,375.0","98,123.0","92,137.0","2.71K","0.40%"
